104.237.189.30	r11---sn-bvvbax-n8me.googlevideo.com
86.57.206.30	r11---sn-cxauxaxjvh-hn9ee.googlevideo.com
173.194.176.221	r11---sn-n8v7kn7d.googlevideo.com
173.194.178.157	r11---sn-n8v7znlr.googlevideo.com
173.194.181.29	r11---sn-n8v7zns6.googlevideo.com
74.125.15.93	r11.sn-3c27sn7l.googlevideo.com
201.0.231.94	r11.sn-8p8v-bg0s.googlevideo.com
208.117.252.26	r11.sn-bvvbax-cvne.a1.googlevideo.com
74.125.110.220	r12---sn-n8v7kne6.googlevideo.com
173.194.181.158	r12---sn-n8v7znsk.googlevideo.com
80.97.208.95	r12.sn-gvhuxax-cc0e7.googlevideo.com
173.194.2.94	r12.sn-n8v7sney.googlevideo.com
173.194.176.159	r13---sn-n8v7kn76.googlevideo.com
74.125.15.223	r13.sn-3c27sn7z.googlevideo.com
173.194.176.223	r13.sn-n8v7kn7d.googlevideo.com
173.194.176.31	r13.sn-n8v7kn7s.googlevideo.com
201.0.224.97	r14.sn-8p8v-bg0k.googlevideo.com
104.237.161.33	r14.sn-bvvbax-4jve.googlevideo.com
162.216.57.162	r15---sn-5aupjx0n5-pn2e.googlevideo.com
173.194.177.225	r15---sn-n8v7kne7.googlevideo.com
173.194.181.97	r15---sn-n8v7znsd.googlevideo.com
74.125.163.33	r15.sn-axq7sn7e.googlevideo.com
208.117.249.34	r15.sn-bvvbax-b05e.googlevideo.com
173.194.176.33	r15.sn-n8v7kn7s.googlevideo.com
173.194.180.225	r15.sn-n8v7knez.googlevideo.com
64.15.119.99	r16---sn-4gxx-25ge7.googlevideo.com
201.0.237.99	r16---sn-8p8v-bg0z.googlevideo.com
173.194.189.98	r16.sn-3c27sne7.googlevideo.com
74.125.163.34	r16.sn-axq7sn7e.googlevideo.com
208.117.225.35	r16.sn-bvvbax-qxose.googlevideo.com
181.49.183.35	r16.sn-ja5gvjv-cvbd.googlevideo.com
173.194.176.98	r16.sn-n8v7kn7z.googlevideo.com
74.125.111.224	r16.sn-n8v7znz7.googlevideo.com
173.194.50.227	r17---sn-3c27sn7r.googlevideo.com
173.194.179.228	r18---sn-n8v7znss.googlevideo.com
74.125.15.100	r18.sn-3c27sn7l.googlevideo.com
46.201.21.45	r2---sn-03guxaxjvh-qo3z.googlevideo.com
138.0.73.77	r2---sn-0aug5oxujx-4vge.googlevideo.com
189.247.142.205	r2---sn-0opoxu-2cjr.googlevideo.com
189.247.154.141	r2---sn-0opoxu-bqad.googlevideo.com
189.247.152.13	r2---sn-0opoxu-bqae.googlevideo.com
189.247.28.205	r2---sn-0opoxu-jtfz.googlevideo.com
190.240.6.77	r2---sn-0ox-cb5l.googlevideo.com
179.49.17.205	r2---sn-20ouvoxu-j0xe.googlevideo.com
138.117.38.205	r2---sn-2gvwxuvnxnxg8pvncg-cxae.googlevideo.com
182.176.45.13	r2---sn-2uja-2xfl.googlevideo.com
59.103.21.13	r2---sn-2uja-5ube.googlevideo.com
36.92.237.77	r2---sn-2uuxa3vh-3ovs.googlevideo.com
36.92.236.13	r2---sn-2uuxa3vh-jb3e7.googlevideo.com
36.92.232.141	r2---sn-2uuxa3vh-n0cr.googlevideo.com
36.92.234.77	r2---sn-2uuxa3vh-wvbz.googlevideo.com
173.194.49.152	r2---sn-3pm7snez.googlevideo.com
59.18.46.205	r2---sn-3u-bh2er.googlevideo.com
139.175.107.205	r2---sn-45gx5nuvox-u2xd.googlevideo.com
211.77.50.109	r2---sn-45gx5nuvox-u2xee.googlevideo.com
173.194.187.39	r2---sn-4g5e6nsd.googlevideo.com
173.194.187.199	r2---sn-4g5e6nze.googlevideo.com
45.5.83.13	r2---sn-4pcxgcg-cnce.googlevideo.com
72.172.194.13	r2---sn-4pqxaput-nual.googlevideo.com
185.61.94.13	r2---sn-4vguxm-n8ve.googlevideo.com
